title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
富地名城装修套四，带家具家电出售,120,7453.4,富地名城,"['新津', '新津']",4室2厅2卫,161㎡,南,精装,高楼层 (共6层),无,普通住宅,2018-07-20,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d31164275cd5875c9e04e09ed5e0db5d/screenshot/0_1/pc0_7sQo4dBVJ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-ad018acd-9bff-4455-8571-52b798b8e82a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-c335bf19-71ec-447a-a8f2-d5e3f6deec8b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-98e1c740-e422-4c40-bfe7-ebe274e7cb0b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-58fc3a35-c40b-4e4f-987d-2aa41373b955.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-9064526c-846e-4a1f-91c4-fe6978caca74.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-2563cc53-f1c0-47e4-8e52-c2d33df9d894.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105153571.html
山水丽都清水套二主卧室带大平台,55,5938.9,山水丽都,"['新津', '新津']",2室2厅1卫,92.61㎡,西北,毛坯,低楼层 (共13层),有,普通住宅,2018-07-31,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/8ca83f5821ebd59c6286e327eb052a27/screenshot/0_5/pc0_4nJOxYSHS.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-761f22ac-7b33-4690-b100-56ef86e0316b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-43e56b38-aa07-4b3f-bfae-2f1c30300ce2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-88b7ab8a-9ea9-422c-90ed-2ef74fe977d1.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-08e1ef0c-8fc7-4126-b099-b7809344bfa3.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105218118.html
金秋乐园一期+大套一，有电梯，,40,6467.3,金秋乐园一期,"['新津', '新津']",1室1厅1卫,61.85㎡,北 南,毛坯,高楼层 (共4层),有,普通住宅,2017-11-01,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/f5529efa12dc796b14b0538c1125e56c/screenshot/0_3/pc0_5xyRXGrPj.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-34e4ae57-cf04-497e-bc1a-747c0b80262a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-6b0d9a4f-2516-49b0-920b-830f0141458a.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105485163.html
汇祥汇祥华楠半+顶楼带露台+带装修,140,10964.9,汇祥华楠半岛,"['新津', '新津']",3室2厅2卫,127.68㎡,南,精装,高楼层 (共6层),无,普通住宅,2018-11-16,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/4c77d5982487134f89d4378facbf2f1c/screenshot/1546827849_12/pc0_tDY9Z52cX.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-637434cb-5bb0-4172-a63b-f6561190b32e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-b9b7ad5b-be5d-477d-8694-84af8829a0fa.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c95e5539-122e-46fa-9f49-71ef56c89d87.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-848cb5d8-69eb-4a56-9804-fdec144706be.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a8351590-5d88-4120-9785-f2ee12749abb.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105530913.html
金秋乐园一期，套二，装修，电梯房,51,6986.3,金秋乐园一期,"['新津', '新津']",2室1厅1卫,73㎡,南,简装,低楼层 (共7层),有,普通住宅,2018-09-04,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/da8fa536e46c7c1c8558ed4a552a3147/screenshot/1551501834_0/pc0_reSpm5iJQ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-985a8d5f-1259-4c78-89ad-4b8e41089e73.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-5f3f8454-6002-41c7-955c-9330496f5145.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1ebf8133-b362-456b-bb40-c702191fc104.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710105840828.html
新津老码头装修+套四  带衣帽间,108,9000,新津老码头,"['新津', '新津']",4室2厅2卫,120㎡,北 南,精装,高楼层 (共15层),无,普通住宅,2018-11-05,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/c203badd7d8eb6ade21bb341095f0e3b/screenshot/1542534470_0/pc0_dp8rytkT3.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-7207e0f9-468a-4253-9d23-1465759460f2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-273210fd-7176-4c4b-8a6e-186effc2da39.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-46d53802-a170-4e3e-b8dc-c32f76237dcc.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-e37765c7-3888-4138-a2f7-b361129ae4f2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-11567baf-fcf5-4de2-bc69-8628f6431970.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107376520.html
纯阳雅庭 顶楼跃层 带花园 中等装修套三双卫,100,7567.2,纯阳雅庭,"['新津', '新津']",3室2厅2卫,132.15㎡,西南,简装,高楼层 (共6层),无,普通住宅,2018-09-18,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3751979a6dcec186a773077e10142312/screenshot/0_0/pc0_EaGCHddVC.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-7ff19918-7b9d-4f71-b92a-9b6668c659e2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-5fbb5579-3316-48ca-a10e-26566795547e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-978a6580-96ac-4c3f-a6a6-2a33ad0abf2a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-8eeaf4d6-8d78-4a13-85cf-9ddbce4eac45.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710107484984.html
金科廊桥水乡二期，端头叠上；满两年，无贷。,185,10897.7,金科廊桥水乡二期,"['新津', '新津']",3室2厅2卫,169.76㎡,北 南,毛坯,低楼层 (共5层),无,别墅,2018-07-20,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/54f0006acd28c772e5a1fa02da945e20/screenshot/0_13/pc0_q8jtxqiea.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-37ecf918-b7b4-4b07-9864-0e7e270732b6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-a406947f-048c-4114-8a0f-fee75d3ef745.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-6bb54a7a-05c6-4ff5-939a-8415e514c328.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-467c9adf-aae8-4b0d-852f-8d10ae54513a.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-3e025a5c-6836-4a0b-85de-1176ff548927.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710108166113.html
万辰乐居+电梯洋房+套二+精装修,75,10135.1,万辰乐居,"['新津', '新津']",2室2厅1卫,74㎡,西南,精装,低楼层 (共6层),有,普通住宅,2018-12-17,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ce0eec876b4fc53664c3cc3c99f74e8e/screenshot/1546764903_11/pc0_QzmbCZiGU.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a6a721a7-0391-4226-a1e8-bbb224b4f3e3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-c1977608-1250-4ee1-921d-445515fdef28.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-51bd77e5-7844-442a-b05f-6d9ff6878edb.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-81ef1803-1520-4318-ab58-ddece14b08db.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710108443186.html
万辰柳庄别墅清水房随时可看交通便利满两年,377,8980.9,万辰柳庄,"['新津', '新津']",5室2厅3卫,419.78㎡,西南,毛坯,低楼层 (共3层),无,别墅,2018-10-11,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/7669bcf8e55fc9a6c9cea07a10ce66e7/screenshot/1542950750_34/pc0_rtI6xOpjJ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-c41b1dc6-f41f-484d-b00b-d7c5fac85ac7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-63373d46-782c-4f9d-9e65-2acb7155e26e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-89eb2de3-ab61-4fda-b1a6-20c1b58be62b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d7f619f6-1334-42a5-a6e5-e2dadf28b422.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-191d17d5-35a5-4975-abc1-23a39b728317.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5132875c-bd99-44ee-8626-3498b9b66173.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ed150848-5be7-4fbd-8c75-c6df3ae583b3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710108643577.html
