title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
此房位置好，距离老城，新城方便，双证有税,90,5525.5,昇华台,"['彭州', '彭州']",4室2厅2卫,162.88㎡,东南 西北,简装,低楼层 (共12层),有,普通住宅,2019-03-10,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/8d647fef2cae4bb07d602a2a5f18019d/screenshot/1553153219_0/pc0_EUmAxDhaN.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-2d99c705-2ca3-4a72-b7dd-998b1dbef7b4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-7943744c-a98e-405b-9949-7a4d8b3ec68d.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f5a82cb1-5fca-4f69-a6e1-c8cf17a07c32.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-559af2a1-6dc8-4d66-81d3-68d7e52f5728.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-5209e7e2-18dd-4b43-81a1-61d3483bc71b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031017710100143797.html
鸿运星城清水大套五，低楼层带花园,120,7378.3,鸿运星城,"['彭州', '彭州']",5室2厅2卫,162.64㎡,东南 西北,毛坯,低楼层 (共6层),有,普通住宅,2019-03-13,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/3f5d204c5fcadf9bf918cf60c0be2534/screenshot/1558427054_1/pc0_R1oGeT3Qe.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-b489b240-13e4-4633-b31c-8fdbfc43b2e8.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-8c650ff3-4bf9-436a-9df1-289e2c1447a7.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-35d44c08-ed6c-4354-bc38-13128e5ae99c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-6dcc0f36-2299-439a-a761-9ad33299b9da.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-47fa6dcc-723b-4389-990f-fbd1ffe8e009.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9cbff7c9-3295-4d7a-b740-782bb67d1eba.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3d75fbcf-56b5-4cc4-aee5-fb38e84797c7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031317710100141419.html
居家装修，正南朝向。温馨居家房，直接拎包入住,50,6586.7,昌建星悦城,"['彭州', '彭州']",2室1厅1卫,75.91㎡,北,毛坯,高楼层 (共32层),有,普通住宅,2019-04-10,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/e321ba7d3ee91455eabd2eaf0414128f/screenshot/1552806065_0/pc0_PYRBMJdVl.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-494118ad-6349-4bd8-8c28-d9684af57712.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-76607b5d-627f-4209-b5ab-9c9d35112b1b.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-03109eac-1f5d-4b8f-9dd2-786ef921f6b7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0ebe7d75-5610-4b82-ab66-534f56a4d5da.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031417710100140419.html
一楼带花园的跃层房，老人养老房,105.8,9618.2,天立世纪华府,"['彭州', '彭州']",3室2厅2卫,110㎡,东南,毛坯,低楼层 (共30层),有,普通住宅,2019-03-14,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/a54c75cc8ebeebc221a4344e20d50767/screenshot/1552620446_1/pc0_XeXrRu0Bt.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-32bcf73a-733e-4c8e-8d5e-3ddd946fb894.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-ef64aaf9-dc8b-4a31-b454-6dc45b450dca.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-97e550d2-4c79-41e7-bdb9-aa81a11c8b74.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b6bd2883-4ca1-423c-9269-dedcf88d36b6.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-dc196c17-9307-43c8-89d8-2d804015ad57.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031417710100148419.html
低楼层好采光，适合老人居住的户型,77,8565.1,置信丽岛,"['彭州', '彭州']",3室2厅1卫,89.9㎡,东南,精装,低楼层 (共21层),有,普通住宅,2019-03-14,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/282d1e23ac9ce265849735fe6ac0bb88/screenshot/1554890646_0/pc0_2OsEKcgAu.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-3a9854f9-e790-4ec7-81dd-d54b4e7e8d55.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-0b678b20-10a7-424c-86c4-70710cab61a6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-1fb18b32-95c8-470c-a082-1c41d0da5797.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-156c2a27-af65-4985-83de-a7b3331eea67.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19031417710100157149.html
英伦风情，小区环境优美，尽在海德花园,55,6665.9,海德花园,"['彭州', '彭州']",2室2厅1卫,82.51㎡,南,毛坯,高楼层 (共6层),无,普通住宅,2019-02-28,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0bd9d1701005e1882d1f3cf27d8d512b/screenshot/1551410432_0/pc0_oOvyRwWwN.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-d573e348-1e59-4c44-836e-250617e91f91.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-ce5506ad-138c-41cd-b83f-34e280edcd8c.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7aa0caed-24d5-4a02-b622-4ea2db6bdeff.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b9a1f453-76cc-44a3-8a58-0b8525eace02.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19032117710100123763.html
一中旁边，精装套四，户型周正，小区好停车,72,4142.7,广院,"['彭州', '彭州']",4室2厅2卫,173.8㎡,南 北,简装,高楼层 (共5层),无,普通住宅,2019-03-22,混合结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/5c80553c7027b9927669102500fc7734/screenshot/1559707912_3/pc0_4w9ABRBGI.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-340fabab-0a91-4777-b85e-0a4406c8e9ca.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-cb495b86-aa12-44d3-9424-83d8f308a5f0.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-02434248-6b3e-4bf1-b34b-6870b94c398d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c31fca2c-22e9-4cc1-a78a-66b2babc66c0.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f24895d4-1bee-409f-9f5a-08054b9151f8.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-7334d28a-8a14-48aa-aebb-614c104cb00c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-49459e66-1591-4f7b-8e2b-b2e3584c5fb7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19032217710100140217.html
牡丹云锦 精装套一  生活便利,35,8055.2,牡丹云锦,"['彭州', '彭州']",1室1厅1卫,43.45㎡,西,精装,低楼层 (共27层),有,普通住宅,2019-03-27,框架结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/19bf733b59bcca04e1cecc8bc0735b0d/screenshot/1554022245_0/pc0_UCHZTV0ws.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a0cf1559-70f9-4f32-a2db-353c6e3f0ae5.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-84bda3bb-2437-42d3-8603-435a007b7a64.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c2a4e4d6-d6bc-4ea9-9f1a-a881c1a347c3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19032717710100118830.html
置信品质小区，物业好，采光好，朝向好,94,7478.1,置信逸都丹郡C区,"['彭州', '彭州']",3室2厅2卫,125.7㎡,南,精装,高楼层 (共6层),无,普通住宅,2019-04-04,未知结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/d7586f4abdfcac2fdc39c4efb48e619f/screenshot/1561632125_14/pc0_P13xDmoUo.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-d9faf20f-af2f-468d-915b-2a4ae7a0f6e2.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-5637b6c6-c5da-45cf-979a-030f37822a51.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-9b65ba37-c8c3-40e1-a54f-676c56369820.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b8a4ebec-bf06-4c80-a88e-73ba57ecf119.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-f320600c-e71b-4c01-b531-157d6e64e679.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19040417710100132866.html
清水套二，诚心出售，价格合理！,36,6288.2,锦绣尚城,"['彭州', '彭州']",2室2厅1卫,57.25㎡,南,毛坯,高楼层 (共27层),有,普通住宅,2019-03-31,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/f37e4fb2c259fd07cb842d4e360cd654/screenshot/1555473478_0/pc0_Jp8xngNE0.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-ffcc0592-7427-4e25-bdb5-143f3e23238d.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-45341c7f-d6d4-459b-89c2-a2634eaff5d7.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b9fd7f26-a388-412a-8cf7-2c78d8499014.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c17c3288-9bf3-4c26-b7d3-c617db27b750.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19040417710100145066.html
