title,price,unit_price,community_name,region,type,construction_area,orientation,decoration,floor,elevator,purposes,release_date,house_structure,image_urls,from_url
户型方正 满二 无增值税 精装修,93.5,12016.5,北新润苑一期,"['新都', '大丰']",2室1厅1卫,77.81㎡,东南,精装,中楼层 (共18层),有,普通住宅,2018-08-15,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0bc3e46ed09168e6250b8b6e0504d9a7/screenshot/1579056363_0/pc0_SoizSj404.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/apc_ZH0ci1EeY_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_46688324-efa1-437d-ba68-c030972890fd.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/apc_dMuxjrKLQ_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_Sx3v8ZQHB_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710109272987.html
北部桂庭顶楼带花园，套四双卫，跃层,120,8078.1,北部桂庭,"['新都', '大丰']",4室2厅2卫,148.55㎡,南,精装,高楼层 (共6层),无,普通住宅,2018-07-30,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/a642710a3d9a2479459e89a0c82d8dff/screenshot/0_0/pc0_RuYkE6GSi.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/test-9e8836be-21e6-4292-9d6a-08a4d2556b58.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-6539e1cb-c318-42ce-9f86-22df466e32be.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/test-fcbab463-9c21-4433-a9af-f5d6867de87d.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-5373b7f0-77d9-4dad-bc63-31e10940a84e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-c5d2ae7f-f456-45eb-9f2c-8c6cb5e09f88.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-69fca355-bf17-4006-abce-fc96f1803357.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/test-0b1478e5-aea7-4759-ae1f-aff6ab85cc05.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/18122017710109535959.html
澳洲湾洋房出售，户型方正，南北通透,137,11926.5,澳洲湾,"['新都', '毗河']",3室2厅2卫,114.87㎡,南 北,毛坯,低楼层 (共6层),有,普通住宅,2018-11-20,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/a82584efed8ae4d73fc878569b84401d/screenshot/1548387852_0/pc0_RSdf2N7zu.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-b66a1d5f-a224-4276-b888-e185d109a1cc.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-1c545c9b-f08b-48c8-8609-6178d8210821.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-c58f5e32-8892-452c-b6ff-2fd25e2fe065.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-8ab61a02-1fbf-4f99-8a64-6e308fda86a2.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-0ca1754b-bdf0-45a9-8b14-885e07cb73ef.png!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19010517710100132084.html
套三，面积123.46平，户型方正，格局合理。,68,5507.9,桂林苑,"['新都', '新都城区']",3室2厅1卫,123.46㎡,西南,简装,中楼层 (共6层),无,普通住宅,2018-06-20,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/ede48558e9c9485a9be46dc9b0fb3ee2/screenshot/1568185321_21/pc0_tfC9wzu8Z.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/pc0_rtlfAejoW_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/standard_6fb22386-197c-47fd-a5f5-374d66ba894e.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_I6q6xZ3yK_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_pxMeyVsCw_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_w4iEXyPos_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/pc0_CXanj4iOx_1.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19011017710100572869.html
聚贤雅丽园装修套三双卫满两年带顶跃套二和花园,104,8319.3,聚贤雅丽园,"['新都', '新都城区']",3室2厅2卫,125.01㎡,东南,精装,高楼层 (共6层),无,普通住宅,2019-01-16,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/211f0dc4074251ebac72cadb631501ec/screenshot/1547949288_0/pc0_WdpfTUnOQ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-6c0943c8-313f-443e-9e70-9cb85efe9e6c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-8bcfc4af-5889-46e6-8b63-f247fae41f4f.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-986f1686-3894-41a5-ac17-038664aaa055.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-be4d3e29-b332-4e65-afc0-37d868c70bed.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-b6531479-ca37-4996-8e01-16b3d7a726a7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19011717710100136667.html
保利春天花语简装套二，布局合理，采光不错,76,15076.4,保利春天花语,"['新都', '大丰']",2室2厅1卫,50.41㎡,东南,简装,低楼层 (共31层),有,普通住宅,2019-02-17,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/538529c6f696c2b09b0128375589eec6/screenshot/1555486854_7/pc0_a6foSNY5T.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-4f7f44dc-dc94-472e-b695-4e97d36263b7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-fdd85e27-7592-4d4e-a06a-6537bbecd072.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3ad4b1e3-9d0c-4d85-93e0-4bd41d797355.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-472d799f-f052-40c5-a2d1-48ee42624760.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19021717710100145312.html
汉嘉国际社区装修房套三双卫低楼层,204,15421.8,汉嘉国际,"['新都', '新都城区']",3室2厅2卫,132.28㎡,东南,精装,低楼层 (共6层),无,普通住宅,2019-02-13,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/447293de160e5cd99a9d517b02ab5f86/screenshot/1552884474_0/pc0_GX7BhXYaJ.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-35f7f2d2-430e-4231-839f-ed28b477680b.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-f0945e30-9143-4ab7-98ae-92abe17d6fb6.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-3e48de79-3855-40f6-a3a8-ea6da96f429c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-876ed2d2-aad4-4157-9d9d-7c511d2b09a4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-710e9ff0-6b62-4b43-8d51-701066d3d08c.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19021917710100106863.html
新都家乐福旁 维也纳花园 户型方正不异型 采光充足,65,8333.3,维也纳花园二期,"['新都', '新都城区']",2室1厅1卫,78㎡,东南,简装,中楼层 (共32层),有,普通住宅,2019-02-21,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/c434cf7597addb73668f592900e8ab80/screenshot/1550884673_1/pc0_FRKJ91QF1.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-90ae9e6c-1cc9-4e4b-92fb-b5d50b08dba3.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-2e17c3c7-c1b6-4f12-8b96-d7b5762fd0d4.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-d34cd54d-e4b9-4acc-8f03-ba840a205b23.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-ceaacc9b-8c5a-42d4-a03a-29b8ee8bb0e7.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19022217710100137859.html
一楼带花园，小区安静舒适，户型方正,65,7547.6,香洲南亭,"['新都', '毗河']",2室1厅1卫,86.12㎡,西南,简装,低楼层 (共6层),无,普通住宅,2019-02-28,钢混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/85e2e843d04acfe757e350bcc911336b/screenshot/1562980783_4/pc0_XZEEfByiN.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-a0110349-19bb-4930-be04-8ce2abcba0cc.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-5271ffa4-21af-4460-9f1e-5b7b28556db1.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a112b979-ddcd-4292-aedd-681e07a91c2e.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-2e373728-cef8-4d79-95d4-a03cb9b03fb4.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19022817710100125662.html
天府香城电梯套二  户型方正 采光好,69.8,6776.7,天府香城,"['新都', '新都城区']",2室1厅2卫,103㎡,北,简装,中楼层 (共5层),有,普通住宅,2019-03-02,砖混结构,"['https://vrlab-image4.ljcdn.com/release/auto3dhd/0cb2332d9c2207eedc66f88b6f5533d0/screenshot/1552186221_6/pc0_BQvfXTsWW.jpg?imageMogr2/quality/70/thumbnail/1024x', 'https://ke-image.ljcdn.com/510100-inspection/prod-57cad911-acde-49f3-b302-f0b91968812f.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/hdic-frame/prod-20563188-d8fd-4147-bea2-9c0cfc392ab1.png!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-e174f458-8371-4ebc-b9a3-476e304aa86a.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com', 'https://ke-image.ljcdn.com/510100-inspection/prod-a820a60e-76a8-4237-832b-d4b323e28088.jpg!m_fill,w_120,h_80,f_jpg?from=ke.com']",https://cd.ke.com/ershoufang/19030217710100144863.html
